Id,Label,modularity_class,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
TIMBERIUS,TIMBERIUS,2,52,55,107,6,0.382263,0.402645,1756.880585,0.076938
"GIDEON, GREGORY HUNG","GIDEON, GREGORY HUNG",2,12,10,22,6,0.359124,0.373129,7.714587,0.025572
"GIDEON, CLAIRE","GIDEON, CLAIRE",2,9,9,18,6,0.356646,0.369973,2.670839,0.024548
MIRACLE MAN,MIRACLE MAN,2,22,18,40,6,0.372708,0.389936,85.617361,0.055645
"CONROY, KAREN","CONROY, KAREN",10,6,0,6,0,0,0,0,0.007297
MONDO II,MONDO II,4,35,36,71,6,0.370152,0.387588,1583.26062,0.024462
TIMESLIP/RINA PATEL,TIMESLIP/RINA PATEL,1,52,42,94,6,0.363079,0.380606,1089.510002,0.031552
ADVENT/KYLE GROBE,ADVENT/KYLE GROBE,1,8,16,24,6,0.343316,0.355143,9.869746,0.011732
THERMAL MAN,THERMAL MAN,14,6,11,17,6,0.347482,0.358799,0,0.008697
"PHILLIPS, HANDSOME H","PHILLIPS, HANDSOME H",2,11,7,18,6,0.356625,0.369837,56.49642,0.023006
"DAKOR, YOGI","DAKOR, YOGI",2,11,7,18,6,0.356625,0.369837,56.49642,0.023006
"BROGIN, BULL","BROGIN, BULL",2,12,3,15,6,0.343722,0.353725,2.220833,0.02516
"NALES, DET. REBECCA","NALES, DET. REBECCA",1,45,43,88,6,0.379716,0.398959,2399.148451,0.057341
"JOHNSON, ANNA","JOHNSON, ANNA",7,32,22,54,6,0.363707,0.379275,228.78166,0.030491
AVANDALIA,AVANDALIA,1,12,11,23,6,0.360568,0.374807,33.526769,0.012212
"THULE, GEN.","THULE, GEN.",1,7,10,17,6,0.356771,0.370134,4.340566,0.010327
"BERGLUND, GEN.","BERGLUND, GEN.",1,9,7,16,6,0.35542,0.368468,0.333333,0.010741
CRIMSON DAFFODIL,CRIMSON DAFFODIL,1,13,7,20,6,0.321152,0.327846,54.458666,0.009137
MARKED MAN,MARKED MAN,1,4,1,5,6,0.317309,0.323662,0,0.002179
NIGHT,NIGHT,1,15,14,29,6,0.34318,0.354517,94.647617,0.021852
"FALCONER, CALVIN","FALCONER, CALVIN",7,4,14,18,6,0.358469,0.372698,2.992531,0.005052
"GALANNAN, BILL","GALANNAN, BILL",7,7,8,15,6,0.356021,0.369383,0.482423,0.008867
TENDRIL/RIVER VERYS,TENDRIL/RIVER VERYS,7,10,12,22,6,0.357503,0.371331,44.10044,0.013595
"SCHWINNER, DR. ERIC","SCHWINNER, DR. ERIC",7,9,19,28,6,0.35906,0.373695,44.304812,0.009095
"SLOAN, ANNA","SLOAN, ANNA",7,10,1,11,6,0.335147,0.343562,0,0.009902
"CONTONI, PAUL","CONTONI, PAUL",7,3,11,14,6,0.358364,0.372397,2.070346,0.005161
"STAPHOS, DR. MONICA","STAPHOS, DR. MONICA",7,9,1,10,7,0.2719,0.27908,0,0.010914
"HITLER, ADOLF","HITLER, ADOLF",10,16,26,42,6,0.366747,0.383459,345.41013,0.024211
GHOST GIRL/,GHOST GIRL/,10,12,2,14,6,0.293814,0.30223,0,0.012515
SPIRIT OF '76/WILLIA,SPIRIT OF '76/WILLIA,10,11,8,19,6,0.361594,0.376368,0,0.012395
KING GEORGE VI,KING GEORGE VI,10,11,8,19,6,0.361594,0.376368,0,0.012395
CAPTAIN WINGS/,CAPTAIN WINGS/,10,11,8,19,6,0.361594,0.376368,0,0.012395
TOMMY LIGHTNING/,TOMMY LIGHTNING/,10,3,12,15,6,0.36183,0.376887,0,0.000643
THUNDERFIST/,THUNDERFIST/,10,2,13,15,6,0.361851,0.376969,0,0.000585
GOLEM/JACOB GOLDSTEI,GOLEM/JACOB GOLDSTEI,10,5,9,14,6,0.361572,0.376409,0.273134,0.006435
BLUE BULLET/PROF. JO,BLUE BULLET/PROF. JO,10,7,6,13,6,0.361508,0.376163,0,0.011584
FACE/COL. EISEN,FACE/COL. EISEN,10,6,1,7,6,0.355502,0.368511,0,0.006523
MATADOR/MANUEL ELOGA,MATADOR/MANUEL ELOGA,7,8,5,13,6,0.340841,0.350732,1.955406,0.008391
MR. FEAR/ZOLTAN DRAG,MR. FEAR/ZOLTAN DRAG,6,4,6,10,6,0.340802,0.350489,33.94534,0.001119
KRANG [ATLANTEAN],KRANG [ATLANTEAN],10,65,35,100,5,0.395628,0.415902,9310.540272,0.122195
DEATHLOK/COLONEL LUT,DEATHLOK/COLONEL LUT,2,31,28,59,6,0.393712,0.413508,40807.62654,0.035514
SLADE,SLADE,7,5,6,11,6,0.340517,0.350366,8.210232,0.006933
FIXER/SWEENEY,FIXER/SWEENEY,7,5,4,9,6,0.339022,0.348319,0,0.006933
"MURDOCK, BATTLING JA","MURDOCK, BATTLING JA",7,3,5,8,6,0.339041,0.348401,0,0.005081
UROC,UROC,14,37,34,71,6,0.360461,0.376258,799.742023,0.046738
HELIX/RAFAEL CARAGO,HELIX/RAFAEL CARAGO,1,49,43,92,6,0.377764,0.397163,3051.525896,0.042319
TURBO II (B)/MIKE JE,TURBO II (B)/MIKE JE,1,30,31,61,6,0.345592,0.358941,6323.285343,0.019074
HOLLYWOOD,HOLLYWOOD,1,17,1,18,7,0.256854,0.261886,0,0.012694
YONDU/YONDU UDONTA,YONDU/YONDU UDONTA,1,23,7,30,6,0.331503,0.339952,154.280091,0.030906
"DUNHAM, LAURA","DUNHAM, LAURA",1,31,26,57,6,0.351102,0.364931,486.216194,0.025725
NIELS,NIELS,1,20,36,56,6,0.349333,0.363404,234.255754,0.011844
NOVA OMEGA/GARTHAN S,NOVA OMEGA/GARTHAN S,1,13,25,38,6,0.344265,0.35664,19.970453,0.01081
MEXXA RIEN,MEXXA RIEN,1,8,20,28,6,0.341413,0.353066,5.532882,0.007039
"CHEN, DR.","CHEN, DR.",1,17,5,22,6,0.329765,0.33823,1.722571,0.01338
GENECIDE,GENECIDE,1,19,20,39,6,0.345984,0.358403,61.431401,0.015285
CORONARY/JIMMY SHARP,CORONARY/JIMMY SHARP,1,31,29,60,6,0.362798,0.378975,389.691899,0.033503
IMPULSE II/DWIGHT HU,IMPULSE II/DWIGHT HU,1,24,35,59,6,0.363252,0.379876,295.600103,0.028467
MATHEMANIC/THOMAS SO,MATHEMANIC/THOMAS SO,1,33,41,74,6,0.36438,0.381451,1479.883011,0.040568
PRETTY PERSUASIONS/H,PRETTY PERSUASIONS/H,1,25,36,61,6,0.363274,0.379958,329.149626,0.031261
DARK,DARK,1,16,30,46,6,0.346396,0.359441,109.046428,0.014068
RIGHT,RIGHT,1,32,8,40,6,0.33163,0.340116,20.175765,0.022178
WRONG,WRONG,1,21,26,47,6,0.342487,0.354345,83.164557,0.016924
GENERAL ADMISSION,GENERAL ADMISSION,1,18,15,33,6,0.339967,0.350437,14.79822,0.014895
DRY,DRY,1,28,13,41,6,0.33685,0.34659,26.714699,0.021344
TRUTH II,TRUTH II,1,18,20,38,6,0.352666,0.365912,99.214664,0.020399
CUT,CUT,1,30,33,63,6,0.364904,0.381975,322.771053,0.023326
ADMIRAL PROTOCOL/,ADMIRAL PROTOCOL/,1,38,27,65,6,0.348017,0.361136,290.818351,0.025758
GENERAL OBSIDIAN,GENERAL OBSIDIAN,1,26,31,57,6,0.346416,0.359523,136.383836,0.021729
LIGHT,LIGHT,1,6,31,37,6,0.346416,0.359523,68.611274,0.005167
"BALDWIN, JUSTIN","BALDWIN, JUSTIN",1,55,36,91,6,0.383609,0.40305,14820.563198,0.109464
"BRIGGS, AGENT STEPHA","BRIGGS, AGENT STEPHA",7,18,21,39,6,0.339097,0.350445,306.214592,0.012434
"STONE, NELSON","STONE, NELSON",1,8,10,18,6,0.338176,0.348533,0.369464,0.007709
GARTHAN SAAL,GARTHAN SAAL,1,0,26,26,6,0.343333,0.355462,0,0
SPROCKET,SPROCKET,1,42,40,82,6,0.353627,0.368235,6855.473522,0.032574
"HENDERSON, CAROL","HENDERSON, CAROL",1,10,8,18,6,0.338195,0.348011,0,0.006268
ASYLUM II/HENRIQUE M,ASYLUM II/HENRIQUE M,1,18,17,35,6,0.342775,0.354473,22.336535,0.012962
"ROSEN, WALTER","ROSEN, WALTER",1,70,48,118,6,0.368988,0.387356,9102.687607,0.077932
JUPITER,JUPITER,1,2,22,24,6,0.343103,0.354864,6.282514,0.001298
SPARROW,SPARROW,1,19,22,41,6,0.342448,0.354113,32.707922,0.017934
FLYNN,FLYNN,1,3,1,4,6,0.321118,0.327696,0,0.008058
"MELTON, LORRIE","MELTON, LORRIE",2,14,12,26,5,0.385622,0.404077,20.185263,0.036778
"MADDEN, CHET","MADDEN, CHET",3,13,12,25,6,0.364141,0.379524,37.943791,0.018157
"ZAPPER, DAN","ZAPPER, DAN",3,14,12,26,6,0.344304,0.355703,357.655365,0.017239
"WALTERS, SHERIFF MOR","WALTERS, SHERIFF MOR",3,14,10,24,5,0.356583,0.370771,277.73731,0.013526
"BRADLEY, JESSICA","BRADLEY, JESSICA",7,5,0,5,0,0,0,0,0.002353
"GONZALEZ, RAYMOND","GONZALEZ, RAYMOND",7,2,3,5,6,0.323743,0.331106,0,0.000609
RADION,RADION,2,7,6,13,6,0.36108,0.375343,35.405158,0.013272
